customer_id,name,age,gender,state,signup_date,email,phone_number,subscribe
CUST0001,Gandi,26,1,Sulawesi Utara,2025-05-05,gandi_96@example.com,8422757160,0
CUST0002,Cecep,49,1,Aceh,2025-06-02,cecep467@example.com,88171122035,0
CUST0003,Artawan,26,1,Jambi,2025-02-11,wahyuninovi@example.net,8692932468,1
CUST0004,Mulya,61,1,Nusa Tenggara Timur,2025-02-19,nnapitupulu@example.com,8515735210,1
CUST0005,Taufik,43,1,Kepulauan Riau,2025-08-04,taufik_87@example.com,81034538051,1
CUST0006,Genta,20,0,Kalimantan Timur,2025-06-04,puyainah@example.com,818757946920,1
CUST0007,Dimas,18,1,Sumatera Barat,2024-11-14,224dimas@example.com,8189638436,0
CUST0008,Nilam,26,0,Jawa Timur,2025-05-22,tariandriani@example.org,8649564474,1
CUST0009,Emas,29,1,Nusa Tenggara Timur,2023-11-30,emas288@example.com,8712019987,1
CUST0010,Kani,64,0,Kalimantan Utara,2025-03-05,asmiantosimbolon@example.org,8691418746,1
CUST0011,Putri,62,0,Kepulauan Riau,2025-01-15,jailanidarsirah@example.org,811765466,1
CUST0012,Raditya,45,1,Jawa Timur,2024-03-14,raditya_90@example.com,82220924900,1
CUST0013,Olivia,21,0,DKI Jakarta,2025-04-29,olivia35@example.com,88842000527,1
CUST0014,Asmianto,35,1,Sulawesi Tengah,2024-08-24,raharja94@example.net,830056278,1
CUST0015,Karya,45,1,Kalimantan Tengah,2024-05-16,prasastafebi@example.net,883184813718,1
CUST0016,Enteng,18,1,Kalimantan Tengah,2025-05-26,enteng782@example.com,819222439412,1
CUST0017,Belinda,27,0,Sulawesi Utara,2024-12-15,belinda_94@example.com,87789167795,1
CUST0018,Kania,54,0,Jawa Tengah,2023-12-20,rusman50@example.org,82570741299,1
CUST0019,Wirda,50,0,Kalimantan Timur,2024-12-15,wirda_21@example.com,8167366035,1
CUST0020,Ajimin,41,1,Bengkulu,2024-10-09,ajimin354@example.com,857252618973,1
CUST0514,Adinata,60,1,Aceh,2023-12-11,bgunawan@example.net,8287301073,1
CUST0021,Irfan,59,1,Jawa Timur,2025-09-23,irfan560@example.com,89030985121,1
CUST0022,Laras,25,0,Gorontalo,2025-07-04,laras202@example.com,876149291,0
CUST0023,Drajat,63,1,Bengkulu,2023-11-08,586drajat@example.com,869239705010,1
CUST0024,Halima,49,0,Sumatera Selatan,2024-05-28,vfirmansyah@example.com,8428991937,1
CUST0025,Gina,25,0,Sulawesi Tenggara,2024-12-29,kayla05@example.com,875066923,1
CUST0026,Teddy,23,1,Bengkulu,2024-12-07,hsihotang@example.net,801317419,1
CUST0027,Elisa,21,0,Sumatera Barat,2024-06-04,933elisa@example.com,888243008034,1
CUST0028,Septi,43,0,Bali,2024-11-14,septi362@example.com,856469458258,0
CUST0029,Kiandra,52,0,Jawa Barat,2024-02-28,hutapeadaryani@example.org,84150799109,1
CUST0030,Hamima,61,0,Kalimantan Barat,2024-09-16,ibrahimhartati@example.org,89959402600,1
CUST0031,Salimah,60,0,Kalimantan Barat,2025-04-10,rafid56@example.org,8186096425,0
CUST0032,Iriana,40,0,Riau,2025-02-10,cagakkusumo@example.org,826260451,1
CUST0033,Raden,47,1,Kalimantan Selatan,2023-11-16,raden_6@example.com,8448856016,1
CUST0034,Ani,39,0,Kalimantan Barat,2025-08-08,ani_50@example.com,839710740771,0
CUST0035,Yessi,21,0,Gorontalo,2024-04-25,cawuk46@example.net,81027769908,0
CUST0036,Amelia,28,0,Sulawesi Tenggara,2025-06-13,phutapea@example.net,851504518,1
CUST0037,Dewi,60,0,Kepulauan Riau,2024-01-15,578dewi@example.com,803009617084,1
CUST0038,Ganep,27,1,Banten,2024-04-02,uwaishimawan@example.org,800743640,1
CUST0039,Kawaya,22,1,Sumatera Barat,2025-05-07,kawaya429@example.com,89967696232,1
CUST0040,Bahuwarna,56,1,Kalimantan Timur,2024-05-20,wriyanti@example.com,883953990,0
CUST0041,Zulfa,49,0,Kepulauan Riau,2025-04-28,kemba06@example.org,895039630,1
CUST0042,Daryani,39,1,Sulawesi Utara,2024-12-15,pudjiastutiprayoga@example.org,88017553925,0
CUST0043,Azalea,21,0,Bengkulu,2024-12-18,azalea436@example.com,8017750425,1
CUST0044,Yunita,54,0,Aceh,2024-02-08,siregarbella@example.com,8561409632,0
CUST0045,Harto,60,1,Nusa Tenggara Barat,2023-11-19,harto401@example.com,815095803,0
CUST0046,Mila,21,0,Lampung,2024-01-30,jefri95@example.org,830530604317,1
CUST0047,Clara,18,0,Sumatera Utara,2023-10-05,338clara@example.com,8728218646,1
CUST0048,Kawaya,22,1,Kalimantan Utara,2024-10-10,rahayugarang@example.org,83240371591,0
CUST0049,Zelaya,50,0,Bali,2024-05-18,zelaya_91@example.com,8868171210,0
CUST0050,Azalea,21,0,Sumatera Barat,2024-04-10,nardipermata@example.com,815333503759,1
CUST0051,Laras,55,0,Jawa Timur,2024-07-03,silvia38@example.net,8158732552,0
CUST0052,Baktiono,62,1,Lampung,2025-05-10,12baktiono@example.com,828457211,0
CUST0053,Gading,19,1,Kalimantan Utara,2025-08-31,gading626@example.com,8337068115,0
CUST0054,Shania,65,0,Kepulauan Bangka Belitung,2024-06-27,xhartati@example.net,876368513,1
CUST0055,Ajeng,47,0,Papua Barat,2024-02-23,lilisusanti@example.org,824638791959,0
CUST0056,Emong,39,1,Bali,2025-06-28,emong132@example.com,8896929596,1
CUST0057,Panca,42,1,Sumatera Utara,2024-05-23,panca67@example.com,855347885,1
CUST0058,Yunita,65,0,Sulawesi Barat,2024-01-29,yunita_84@example.com,82173919096,1
CUST0059,Eko,41,1,Sulawesi Selatan,2025-07-07,teddy33@example.net,82140921512,1
CUST0060,Devi,63,0,Kepulauan Bangka Belitung,2024-05-29,wakiman15@example.org,816841884897,0
CUST0061,Siska,29,0,Sumatera Utara,2025-04-28,siska_1@example.com,861273194,0
CUST0062,Siti,53,0,Banten,2025-02-07,206siti@example.com,809986352,1
CUST0063,Muni,23,1,Jawa Timur,2025-04-25,eprabowo@example.org,8136636469,1
CUST0064,Diah,36,0,Nusa Tenggara Barat,2024-09-15,592diah@example.com,8743750197,1
CUST0065,Perkasa,26,1,Kalimantan Timur,2025-01-03,estionoprasetya@example.org,8243403277,0
CUST0066,Victoria,30,0,Banten,2025-06-07,saragihdacin@example.org,83711225862,1
CUST0067,Anita,49,0,DKI Jakarta,2024-10-07,anita787@example.com,88953352346,0
CUST0068,Ade,28,1,Papua,2024-04-01,maryatisuci@example.org,870339210,1
CUST0069,Ratna,40,0,Papua Barat,2024-03-13,447ratna@example.com,81610611457,1
CUST0070,Tari,20,0,Kalimantan Tengah,2024-10-16,tari_19@example.com,866257998,1
CUST0071,Faizah,60,0,Banten,2024-12-09,hwidiastuti@example.com,898502533,1
CUST0679,Jayadi,46,1,Kepulauan Bangka Belitung,2025-09-20,998jayadi@example.com,84642406422,0
CUST0072,Bagus,59,1,Papua Barat,2024-08-29,dmahendra@example.com,810909634929,0
CUST0073,Ajeng,58,0,Sumatera Barat,2024-10-31,uandriani@example.com,812382618,1
CUST0074,Gawati,28,0,Banten,2025-08-07,gawati485@example.com,83172254204,1
CUST0075,Salman,45,1,Papua Barat,2024-11-17,salman705@example.com,896248430344,0
CUST0076,Novi,41,0,Banten,2024-06-21,eka06@example.com,825670214,1
CUST0077,Najib,42,1,Maluku Utara,2025-04-29,najib_62@example.com,839771409193,0
CUST0078,Jail,62,1,Kalimantan Timur,2025-02-06,jail373@example.com,868806727,1
